"game_id","date_played","home","visitor"
24785,2021-10-07,"BAR","NIAG"
24786,2021-10-07,"NB","PBO"
24787,2021-10-07,"WSR","SAR"
24788,2021-10-08,"KGN","OTT"
24789,2021-10-08,"KIT","GUE"
24790,2021-10-08,"LDN","OS"
24791,2021-10-08,"OSH","HAM"
24792,2021-10-08,"SOO","NB"
24793,2021-10-08,"SAR","WSR"
24794,2021-10-08,"SBY","PBO"
24795,2021-10-09,"FLNT","ER"
24796,2021-10-09,"GUE","KIT"
24797,2021-10-09,"HAM","BAR"
24798,2021-10-09,"KGN","MISS"
24799,2021-10-09,"NIAG","OSH"
24800,2021-10-09,"OS","LDN"
24801,2021-10-09,"SOO","SBY"
24802,2021-10-10,"OTT","KGN"
24803,2021-10-11,"NB","SBY"
24804,2021-10-11,"OTT","OSH"
24805,2021-10-11,"WSR","LDN"
24806,2021-10-13,"OS","GUE"
24807,2021-10-14,"BAR","SOO"
24808,2021-10-14,"FLNT","ER"
24809,2021-10-14,"PBO","SBY"
24810,2021-10-15,"GUE","SOO"
24811,2021-10-15,"HAM","NIAG"
24812,2021-10-15,"KGN","SBY"
24813,2021-10-15,"KIT","SAR"
24814,2021-10-15,"LDN","WSR"
24815,2021-10-15,"NB","MISS"
24816,2021-10-15,"OTT","OSH"
24817,2021-10-16,"BAR","MISS"
24818,2021-10-16,"NIAG","HAM"
24819,2021-10-16,"OS","SOO"
24820,2021-10-16,"PBO","KGN"
24821,2021-10-16,"SAG","ER"
24822,2021-10-16,"SAR","LDN"
24823,2021-10-17,"NB","BAR"
24824,2021-10-17,"OSH","PBO"
24825,2021-10-17,"OTT","SBY"
24826,2021-10-17,"SAG","ER"
24827,2021-10-19,"KIT","GUE"
24828,2021-10-20,"FLNT","SAG"
24829,2021-10-20,"SOO","SBY"
24830,2021-10-21,"NIAG","BAR"
24831,2021-10-21,"NB","HAM"
24832,2021-10-21,"PBO","OSH"
24833,2021-10-21,"WSR","OS"
24834,2021-10-22,"KGN","PBO"
24835,2021-10-22,"KIT","WSR"
24836,2021-10-22,"LDN","OS"
24837,2021-10-22,"MISS","OTT"
24838,2021-10-22,"OSH","NIAG"
24839,2021-10-22,"SOO","NB"
24840,2021-10-22,"SAR","GUE"
24841,2021-10-22,"SBY","HAM"
24842,2021-10-23,"BAR","OTT"
24843,2021-10-23,"ER","SAG"
24844,2021-10-23,"NIAG","MISS"
24845,2021-10-23,"OS","WSR"
24846,2021-10-23,"SOO","NB"
24847,2021-10-24,"ER","SAG"
24848,2021-10-24,"GUE","KIT"
24849,2021-10-24,"MISS","HAM"
24850,2021-10-24,"OSH","OTT"
24851,2021-10-27,"OS","LDN"
24852,2021-10-27,"SOO","KIT"
24853,2021-10-27,"SAG","FLNT"
24854,2021-10-28,"BAR","SBY"
24855,2021-10-28,"NB","OSH"
24856,2021-10-28,"PBO","HAM"
24857,2021-10-28,"WSR","GUE"
24858,2021-10-29,"ER","FLNT"
24859,2021-10-29,"GUE","OS"
24860,2021-10-29,"HAM","NIAG"
24861,2021-10-29,"KGN","OTT"
24862,2021-10-29,"KIT","SOO"
24863,2021-10-29,"LDN","SAR"
24864,2021-10-29,"MISS","BAR"
24865,2021-10-29,"SBY","OSH"
24866,2021-10-30,"BAR","NB"
24867,2021-10-30,"ER","FLNT"
24868,2021-10-30,"GUE","SOO"
24869,2021-10-30,"HAM","MISS"
24870,2021-10-30,"NIAG","PBO"
24871,2021-10-30,"OTT","KGN"
24872,2021-10-30,"OS","SAR"
24873,2021-10-30,"WSR","KIT"
24874,2021-10-31,"SBY","NB"
24875,2021-11-02,"KIT","GUE"
24876,2021-11-03,"FLNT","WSR"
24877,2021-11-03,"KGN","MISS"
24878,2021-11-03,"SOO","SAG"
24879,2021-11-04,"NIAG","ER"
24880,2021-11-04,"PBO","NB"
24881,2021-11-05,"KGN","NB"
24882,2021-11-05,"KIT","FLNT"
24883,2021-11-05,"LDN","OS"
24884,2021-11-05,"MISS","HAM"
24885,2021-11-05,"OSH","BAR"
24886,2021-11-05,"OTT","PBO"
24887,2021-11-05,"SOO","GUE"
24888,2021-11-05,"SAR","SAG"
24889,2021-11-05,"SBY","NIAG"
24890,2021-11-06,"FLNT","LDN"
24891,2021-11-06,"HAM","SBY"
24892,2021-11-06,"OS","KIT"
24893,2021-11-06,"SOO","GUE"
24894,2021-11-06,"SAG","SAR"
24895,2021-11-06,"WSR","ER"
24896,2021-11-07,"HAM","BAR"
24897,2021-11-07,"KGN","PBO"
24898,2021-11-07,"MISS","NIAG"
24899,2021-11-07,"OSH","SBY"
24900,2021-11-07,"OTT","NB"
